ticker,company,sector
4DX,4DMedical,Healthcare
A2M,a2 Milk Company,Consumer Staples
AAI,Alcoa,Materials
AFI,Australian Foundation Investment Company,Financials
AGL,AGL Energy,Utilities
AIA,Auckland International Airport Limited,Industrials
ALD,Ampol,Energy
ALK,Alkane Resources,Materials
ALL,Aristocrat Leisure,Consumer Discretionary
ALQ,ALS,Industrials
ALX,Atlas Arteria,Industrials
AMC,Amcor,Materials
AMP,AMP,Financials
ANN,Ansell,Healthcare
ANZ,Australia & New Zealand Banking Group,Financials
APA,APA Group,Utilities
APE,Eagers Automotive,Consumer Discretionary
ARB,ARB Corporation,Consumer Discretionary
ARG,Argo Investments,Financials
ASB,Austal,Industrials
ASK,Abacus Storage King,Real Estate
ASX,ASX,Financials
AUB,AUB Group,Financials
AZJ,Aurizon,Industrials
BEN,Bendigo & Adelaide Bank,Financials
BFL,BSP Financial Group,Financials
BGA,Bega Cheese,Consumer Staples
BGL,Bellevue Gold,Materials
BHP,BHP,Materials
BOQ,Bank of Queensland,Financials
BPT,Beach Energy,Energy
BRG,Breville Group,Consumer Discretionary
BSL,BlueScope,Materials
BWP,BWP Trust,Real Estate
BXB,Brambles,Industrials
CAR,CAR Group,Communication Services
CBA,Commonwealth Bank,Financials
CDA,Codan,Information Technology
CEN,Contact Energy,Utilities
CGF,Challenger,Financials
CHC,Charter Hall,Real Estate
CIA,Champion Iron,Materials
CIP,Centuria Industrial REIT,Real Estate
CLW,Charter Hall Long WALE REIT,Real Estate
CMM,Capricorn Metals,Materials
CNU,Chorus,Communication Services
COH,Cochlear,Healthcare
COL,Coles Group,Consumer Staples
CPU,Computershare,Information Technology
CQR,Charter Hall Retail REIT,Real Estate
CSC,Capstone Copper,Materials
CSL,CSL,Healthcare
CTD,Corporate Travel Management,Consumer Discretionary
CWY,Cleanaway,Industrials
CYL,Catalyst Metals,Materials
DBI,Dalrymple Bay Infrastructure,Industrials
DNL,Dyno Nobel,Materials
DOW,Downer Group,Industrials
DRO,Droneshield,Industrials
DRR,Deterra Royalties,Materials
DXS,Dexus,Real Estate
DYL,Deep Yellow,Energy
EBO,EBOS Group,Healthcare
EDV,Endeavour Group,Consumer Staples
EMR,Emerald Resources,Materials
EOS,Electro Optic Systems Holdings,Industrials
EVN,Evolution Mining,Materials
EVT,EVT,Communication Services
FBU,Fletcher Building,Industrials
FLT,Flight Centre Travel Group,Consumer Discretionary
FMG,Fortescue,Materials
FPH,Fisher & Paykel Healthcare,Healthcare
FRW,Freightways Group,Industrials
GDG,Generation Development Group,Financials
GGP,Greatland Resources,Materials
GMD,Genesis Minerals,Materials
GMG,Goodman Group,Real Estate
GNE,Genesis Energy,Utilities
GPT,GPT Group,Real Estate
GQG,GQG Partners,Financials
HDN,HomeCo Daily Needs REIT,Real Estate
HUB,HUB24,Financials
HVN,Harvey Norman,Consumer Discretionary
IAG,Insurance Australia Group,Financials
IFL,Insignia Financial,Financials
IFT,Infratil,Financials
IGO,IGO,Materials
ILU,Iluka Resources,Materials
IMD,IMDEX,Materials
JBH,JB Hi-Fi,Consumer Discretionary
JHX,James Hardie,Materials
L1G,L1 Group,Financials
LLC,Lendlease,Real Estate
LNW,Light & Wonder,Consumer Discretionary
LOV,Lovisa,Consumer Discretionary
LSF,L1 Long Short Fund,Financials
LTR,Liontown Resources,Materials
LYC,Lynas Rare Earths,Materials
MCY,Mercury NZ,Utilities
MEZ,Meridian Energy,Utilities
MFF,MFF Capital Investments,Financials
MFG,Magellan Financial Group,Financials
MGR,Mirvac,Real Estate
MIN,Mineral Resources,Materials
MND,Monadelphous Group,Industrials
MPL,Medibank,Financials
MQG,Macquarie Group,Financials
MSB,Mesoblast,Healthcare
MTS,Metcash,Consumer Staples
MXT,Metrics Master Income Trust,Financials
NAB,National Australia Bank,Financials
NEM,Newmont,Materials
NHC,New Hope,Energy
NHF,Nib,Financials
NIC,Nickel Industries,Materials
NSR,National Storage,Real Estate
NST,Northern Star Resources,Materials
NWH,NRW Holdings,Industrials
NWL,Netwealth Group,Financials
NWS,News Corp Class B,Communication Services
NXG,Nexgen Energy,Energy
NXT,NextDC,Information Technology
OBM,Ora Banda Mining,Materials
ORA,Orora,Materials
ORG,Origin Energy,Utilities
ORI,Orica,Materials
PDI,Predictive Discovery,Materials
PDN,Paladin Energy,Energy
PLS,PLS Group,Materials
PME,Pro Medicus,Healthcare
PMV,Premier Investments,Consumer Discretionary
